Rec.#,ION,OX. State,Elec. Config.,Coord. #,Spin State,Crystal Radius,Ionic Radius,NOTES,Z/IR
1,Ac +3,3,6p 6,6,,1.26,1.12,R,2.678571429
2,Ag +1,1,4d 10,2,,0.81,0.67,,1.492537313
3,Ag +1,1,4d 10,4,,1.14,1,C,1
4,Ag +1,1,4d 10,4,,1.16,1.02,,0.980392157
5,Ag +1,1,4d 10,5,,1.23,1.09,C,0.917431193
6,Ag +1,1,4d 10,6,,1.29,1.15,C,0.869565217
7,Ag +1,1,4d 10,7,,1.36,1.22,,0.819672131
8,Ag +1,1,4d 10,8,,1.42,1.28,,0.78125
9,Ag +2,2,4d 9,4,,0.93,0.79,,2.53164557
10,Ag +2,2,4d 9,6,,1.08,0.94,,2.127659574
11,Ag +3,3,4d 8,4,,0.81,0.67,,4.47761194
12,Ag +3,3,4d 8,6,,0.89,0.75,R,4
13,Al +3,3,2p 6,4,,0.53,0.39,* ,7.692307692
14,Al +3,3,2p 6,5,,0.62,0.48,,6.25
15,Al +3,3,2p 6,6,,0.675,0.535,R *,5.607476636
16,Am +2,2,5f 7,7,,1.35,1.21,,1.652892562
17,Am +2,2,5f 7,8,,1.4,1.26,,1.587301587
18,Am +2,2,5f 7,9,,1.45,1.31,,1.526717557
19,Am +3,3,5f 6,6,,1.115,0.975,R,3.076923077
20,Am +3,3,5f 6,8,,1.23,1.09,,2.752293578
21,Am +4,4,5f 5,6,,0.99,0.85,R,4.705882353
22,Am +4,4,5f 5,8,,1.09,0.95,,4.210526316
23,As +3,3,4s 2,6,,0.72,0.58,A,5.172413793
24,As +5,5,3d 10,4,,0.475,0.335,R *,14.92537313
25,As +5,5,3d 10,6,,0.6,0.46,C *,10.86956522
26,At +7,7,5d 10,6,,0.76,0.62,A,11.29032258
27,Au +1,1,5d 10,6,,1.51,1.37,A,0.729927007
28,Au +3,3,5d 8,4,,0.82,0.68,,4.411764706
29,Au +3,3,5d 8,6,,0.99,0.85,A,3.529411765
30,Au +5,5,5d 6,6,,0.71,0.57,,8.771929825
31,B +3,3,1s 2,3,,0.15,0.01,* ,300
32,B +3,3,1s 2,4,,0.25,0.11,* ,27.27272727
33,B +3,3,1s 2,6,,0.41,0.27,C,11.11111111
34,Ba +2,2,5p 6,6,,1.49,1.35,,1.481481481
35,Ba +2,2,5p 6,7,,1.52,1.38,C,1.449275362
36,Ba +2,2,5p 6,8,,1.56,1.42,,1.408450704
37,Ba +2,2,5p 6,9,,1.61,1.47,,1.360544218
38,Ba +2,2,5p 6,10,,1.66,1.52,,1.315789474
39,Ba +2,2,5p 6,11,,1.71,1.57,,1.27388535
40,Ba +2,2,5p 6,12,,1.75,1.61,C,1.242236025
41,Be +2,2,1s 2,3,,0.3,0.16,,12.5
42,Be +2,2,1s 2,4,,0.41,0.27,* ,7.407407407
43,Be +2,2,1s 2,6,,0.59,0.45,C,4.444444444
44,Bi +3,3,6s 2,5,,1.1,0.96,C,3.125
45,Bi +3,3,6s 2,6,,1.17,1.03,R *,2.912621359
46,Bi +3,3,6s 2,8,,1.31,1.17,R,2.564102564
47,Bi +5,5,5d 10,6,,0.9,0.76,E,6.578947368
48,Bk +3,3,5f 8,6,,1.1,0.96,R,3.125
49,Bk +4,4,5f 7,6,,0.97,0.83,R,4.819277108
50,Bk +4,4,5f 7,8,,1.07,0.93,R,4.301075269
51,Br -1,-1,4p 6,6,,1.82,1.96,P,-0.510204082
52,Br +3,3,4p 2,4,,0.73,0.59,,5.084745763
53,Br +5,5,4s 2,3,,0.45,0.31,,16.12903226
54,Br +7,7,3d 10,4,,0.39,0.25,,28
55,Br +7,7,3d 10,6,,0.53,0.39,A,17.94871795
56,C +4,4,1s 2,3,,0.06,-0.08,,-50
57,C +4,4,1s 2,4,,0.29,0.15,P,26.66666667
58,C +4,4,1s 2,6,,0.3,0.16,A,25
59,Ca +2,2,3p 6,6,,1.14,1,,2
60,Ca +2,2,3p 6,7,,1.2,1.06,*,1.886792453
61,Ca +2,2,3p 6,8,,1.26,1.12,*,1.785714286
62,Ca +2,2,3p 6,9,,1.32,1.18,,1.694915254
63,Ca +2,2,3p 6,10,,1.37,1.23,C,1.62601626
64,Ca +2,2,3p 6,12,,1.4,1.34,C,1.492537313
65,Cd +2,2,4d 10,4,,0.92,0.78,,2.564102564
66,Cd +2,2,4d 10,5,,1.01,0.87,,2.298850575
67,Cd +2,2,4d 10,6,,1.09,0.95,,2.105263158
68,Cd +2,2,4d 10,7,,1.17,1.03,C,1.941747573
69,Cd +2,2,4d 10,8,,1.24,1.1,C,1.818181818
70,Cd +2,2,4d 10,12,,1.45,1.31,,1.526717557
71,Ce +3,3,6s 1,6,,1.15,1.01,R,2.97029703
72,Ce +3,3,6s 1,7,,1.21,1.07,E,2.803738318
73,Ce +3,3,6s 1,8,,1.283,1.143,R,2.624671916
74,Ce +3,3,6s 1,9,,1.336,1.196,R,2.508361204
75,Ce +3,3,6s 1,10,,1.39,1.25,,2.4
76,Ce +3,3,6s 1,12,,1.48,1.34,C,2.23880597
77,Ce +4,4,5p 6,6,,1.01,0.87,R,4.597701149
78,Ce +4,4,5p 6,8,,1.11,0.97,R,4.12371134
79,Ce +4,4,5p 6,10,,1.21,1.07,,3.738317757
80,Ce +4,4,5p 6,12,,1.28,1.14,,3.50877193
81,Cf +3,3,6d 1,6,,1.09,0.95,R,3.157894737
82,Cf +4,4,5f 8,6,,0.961,0.821,R,4.872107186
83,Cf +4,4,5f 8,8,,1.06,0.92,,4.347826087
84,Cl-1,-1,3p 6,6,,1.67,1.81,P,-0.552486188
85,Cl+5,5,3s 2,3,,0.26,0.12,,41.66666667
86,Cl+7,7,2p 6,4,,0.22,0.08,*,87.5
87,Cl+7,7,2p 6,6,,0.41,0.27,A,25.92592593
88,Cm+3,3,5f 7,4,,1.11,0.97,R,3.092783505
89,Cm+4,4,5f 6,4,,0.99,0.85,R,4.705882353
90,Cm+4,4,5f 6,8,,1.09,0.95,R,4.210526316
91,Co+2,2,3d 7,4,HS,0.72,0.58,,3.448275862
92,Co+2,2,3d 7,5,,0.81,0.67,C,2.985074627
93,Co+2,2,3d 7,6,LS,0.79,0.65,R,3.076923077
94,Co+2,2,3d 7,6,HS,0.885,0.745,R*,2.684563758
