ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
AgBrO3,-1.0,1,Ag,Br,O,1,5,-2,1.28,0.31,1.4,1.11,6.43,-1,-1,0.05
AgCdBr3,-1.0,1,Ag,Cd,Br,1,2,-1,1.28,0.95,1.96,0.79,5.58,-1,-1,0.12
PbAgBr3,-1.0,1,Pb,Ag,Br,2,1,-1,1.49,1.15,1.96,0.78,7.71,-1,-1,0.01
AgCaCl3,-1.0,1,Ag,Ca,Cl,1,2,-1,1.28,1.0,1.81,0.78,6.0,-1,-1,0.07
AgClO3,-1.0,1,Ag,Cl,O,1,5,-2,1.28,0.12,1.4,1.25,15.17,-1,-1,0.0
AgMgCl3,-1.0,1,Ag,Mg,Cl,1,2,-1,1.28,0.72,1.81,0.86,4.6,1,-1,0.34
AgSnCl3,-1.0,1,Ag,Sn,Cl,1,2,-1,1.28,1.15,1.81,0.74,10.97,-1,-1,0.0
AgCoF3,1.0,1,Ag,Co,F,1,2,-1,1.28,0.74,1.33,0.89,3.96,1,1,0.64
AgCuF3,1.0,1,Ag,Cu,F,1,2,-1,1.28,0.73,1.33,0.9,3.94,1,1,0.64
AgMgF3,1.0,1,Ag,Mg,F,1,2,-1,1.28,0.72,1.33,0.9,3.94,1,1,0.65
AgMnF3,1.0,1,Ag,Mn,F,1,2,-1,1.28,0.83,1.33,0.85,4.16,1,1,0.54
AgNiF3,1.0,1,Ag,Ni,F,1,2,-1,1.28,0.69,1.33,0.91,3.93,1,1,0.65
PbAgF3,-1.0,1,Pb,Ag,F,2,1,-1,1.49,1.15,1.33,0.8,7.16,-1,-1,0.02
AgZnF3,1.0,1,Ag,Zn,F,1,2,-1,1.28,0.74,1.33,0.89,3.95,1,1,0.64
AgNO3,-1.0,1,Ag,N,O,1,5,-2,1.28,0.13,1.4,1.24,14.07,-1,-1,0.0
AgNbO3,1.0,1,Ag,Nb,O,1,5,-2,1.28,0.64,1.4,0.93,4.07,1,1,0.58
AgPO3,-1.0,1,Ag,P,O,1,5,-2,1.28,0.38,1.4,1.06,5.46,-1,-1,0.13
