compound,source,dHdec (meV/atom),A,B1,B2,X,nA,nB1,nB2,rA (Ang),rB1 (Ang),rB2 (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
Cs2CuGaCl6,10.1021/jacs.7b02120,-7,Cs,Cu,Ga,Cl,1,1,3,1.88,0.77,0.62,1.81,1.04,4.32,1,-1,0.47
Cs2CuGaBr6,10.1021/jacs.7b02120,-23,Cs,Cu,Ga,Br,1,1,3,1.88,0.77,0.62,1.96,1.02,4.54,1,-1,0.37
Cs2CuGaI6,10.1021/jacs.7b02120,-74,Cs,Cu,Ga,I,1,1,3,1.88,0.77,0.62,2.2,1.0,4.88,1,-1,0.24
Cs2CuInCl6,10.1021/jacs.7b02120,77,Cs,Cu,In,Cl,1,1,3,1.88,0.77,0.8,1.81,1.01,4.05,1,1,0.6
Cs2CuInBr6,10.1021/jacs.7b02120,23,Cs,Cu,In,Br,1,1,3,1.88,0.77,0.8,1.96,0.99,4.24,1,-1,0.51
Cs2CuInI6,10.1021/jacs.7b02120,-22,Cs,Cu,In,I,1,1,3,1.88,0.77,0.8,2.2,0.97,4.54,1,-1,0.36
Cs2AgGaCl6,10.1021/jacs.7b02120,40,Cs,Ag,Ga,Cl,1,1,3,1.88,1.15,0.62,1.81,0.97,3.86,1,1,0.68
Cs2AgGaBr6,10.1021/jacs.7b02120,13,Cs,Ag,Ga,Br,1,1,3,1.88,1.15,0.62,1.96,0.95,4.03,1,1,0.6
Cs2AgGaI6,10.1021/jacs.7b02120,-51,Cs,Ag,Ga,I,1,1,3,1.88,1.15,0.62,2.2,0.94,4.31,1,-1,0.47
Cs2AgInCl6,10.1021/jacs.7b02120,116,Cs,Ag,In,Cl,1,1,3,1.88,1.15,0.8,1.81,0.94,3.79,1,1,0.71
Cs2AgInBr6,10.1021/jacs.7b02120,56,Cs,Ag,In,Br,1,1,3,1.88,1.15,0.8,1.96,0.93,3.95,1,1,0.64
Cs2AgInI6,10.1021/jacs.7b02120,3,Cs,Ag,In,I,1,1,3,1.88,1.15,0.8,2.2,0.91,4.19,1,-1,0.53
K2CuGaCl6,10.1021/jacs.7b02120,-25,K,Cu,Ga,Cl,1,1,3,1.64,0.77,0.62,1.81,0.97,4.35,1,-1,0.45
K2CuGaBr6,10.1021/jacs.7b02120,-72,K,Cu,Ga,Br,1,1,3,1.64,0.77,0.62,1.96,0.96,4.57,1,-1,0.35
K2CuGaI6,10.1021/jacs.7b02120,-133,K,Cu,Ga,I,1,1,3,1.64,0.77,0.62,2.2,0.94,4.91,1,-1,0.23
K2CuInCl6,10.1021/jacs.7b02120,36,K,Cu,In,Cl,1,1,3,1.64,0.77,0.8,1.81,0.94,4.14,1,1,0.55
K2CuInBr6,10.1021/jacs.7b02120,-42,K,Cu,In,Br,1,1,3,1.64,0.77,0.8,1.96,0.93,4.33,1,-1,0.46
K2CuInI6,10.1021/jacs.7b02120,-91,K,Cu,In,I,1,1,3,1.64,0.77,0.8,2.2,0.91,4.64,1,-1,0.33
K2AgGaCl6,10.1021/jacs.7b02120,-7,K,Ag,Ga,Cl,1,1,3,1.64,1.15,0.62,1.81,0.91,4.05,1,1,0.6
