compound,A,B1,B2,X,nA,nB1,nB2,nX,rA (Ang),rB1 (Ang),rB2 (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
Cs2AcAgCl6,Cs,Ac,Ag,Cl,1,3,1,-1,1.88,1.12,1.15,1.135,1.81,0.89,3.88,1,1,0.67
Cs2AcAuCl6,Cs,Ac,Au,Cl,1,3,1,-1,1.88,1.12,1.37,1.245,1.81,0.85,4.12,1,1,0.56
Cs2AcCuCl6,Cs,Ac,Cu,Cl,1,3,1,-1,1.88,1.12,0.77,0.9450000000000001,1.81,0.95,3.81,1,1,0.7
Cs2AcFrCl6,Cs,Ac,Fr,Cl,1,3,1,-1,1.88,1.12,1.8,1.46,1.81,0.8,5.33,-1,-1,0.13
Cs2AcHgCl6,Cs,Ac,Hg,Cl,1,3,1,-1,1.88,1.12,1.19,1.155,1.81,0.88,3.91,1,1,0.66
Cs2AcKCl6,Cs,Ac,K,Cl,1,3,1,-1,1.88,1.12,1.38,1.25,1.81,0.85,4.13,1,1,0.56
Cs2AcLiCl6,Cs,Ac,Li,Cl,1,3,1,-1,1.88,1.12,0.76,0.9400000000000001,1.81,0.95,3.81,1,1,0.7
Cs2AcNaCl6,Cs,Ac,Na,Cl,1,3,1,-1,1.88,1.12,1.02,1.07,1.81,0.91,3.81,1,1,0.7
Cs2AcPdCl6,Cs,Ac,Pd,Cl,1,3,1,-1,1.88,1.12,0.59,0.855,1.81,0.98,3.91,1,1,0.66
Cs2AcRbCl6,Cs,Ac,Rb,Cl,1,3,1,-1,1.88,1.12,1.52,1.32,1.81,0.83,4.4,1,-1,0.43
Cs2AcTlCl6,Cs,Ac,Tl,Cl,1,3,1,-1,1.88,1.12,1.5,1.31,1.81,0.84,4.35,1,-1,0.45
Cs2AgAlCl6,Cs,Ag,Al,Cl,1,1,3,-1,1.88,1.15,0.54,0.8425,1.81,0.98,3.93,1,1,0.65
Cs2AgAmCl6,Cs,Ag,Am,Cl,1,1,3,-1,1.88,1.15,0.98,1.0625,1.81,0.91,3.8,1,1,0.7
Cs2AgAsCl6,Cs,Ag,As,Cl,1,1,3,-1,1.88,1.15,0.58,0.865,1.81,0.98,3.89,1,1,0.67
Cs2AgAuCl6,Cs,Ag,Au,Cl,1,1,3,-1,1.88,1.15,0.85,1.0,1.81,0.93,3.79,1,1,0.71
Cs2AgBCl6,Cs,Ag,B,Cl,1,1,3,-1,1.88,1.15,0.27,0.71,1.81,1.04,4.27,1,-1,0.49
Cs2AgBiCl6,Cs,Ag,Bi,Cl,1,1,3,-1,1.88,1.15,1.03,1.0899999999999999,1.81,0.9,3.82,1,1,0.7
Cs2AgBkCl6,Cs,Ag,Bk,Cl,1,1,3,-1,1.88,1.15,0.96,1.055,1.81,0.91,3.8,1,1,0.71
Cs2AgBrCl6,Cs,Ag,Br,Cl,1,1,3,-1,1.88,1.15,0.59,0.8699999999999999,1.81,0.97,3.88,1,1,0.67
