formula,tag,tau,tau_pred,tau_prob,t,t_pred,A,B,A1,A2,B1,B2,X1,X2,nA,nB,nX,rA,rB,rX
LiTiO3,single,nan,nan,nan,nan,nan,Li,Ti,Li,Li,Ti,Ti,O,O,nan,nan,nan,nan,nan,1.4
Li2TiMnO6,double_B,5.06881335123,-1,0.187660537675,0.896441383799,-1,nan,nan,Li,Li,Ti,Mn,O,O,1.0,5.0,-2.0,0.92,0.43,1.4
Li2TiAlO6,double_B,nan,nan,nan,nan,nan,nan,nan,Li,Li,Ti,Al,O,O,nan,nan,nan,nan,nan,nan
Li2MnTiO6,double_B,5.06881335123,-1,0.187660537675,0.896441383799,-1,nan,nan,Li,Li,Mn,Ti,O,O,1.0,5.0,-2.0,0.92,0.43,1.4
LiMnO3,single,5.9615605041,-1,0.0553154242697,0.948258804828,1,Li,Mn,Li,Li,Mn,Mn,O,O,1,5,-2,0.92,0.33,1.4
Li2MnAlO6,double_B,4.82206004872,-1,0.259423649508,0.864552164613,-1,nan,nan,Li,Li,Mn,Al,O,O,1.0,5.0,-2.0,0.92,0.4975,1.4
Li2AlTiO6,double_B,nan,nan,nan,nan,nan,nan,nan,Li,Li,Al,Ti,O,O,nan,nan,nan,nan,nan,nan
Li2AlMnO6,double_B,4.82206004872,-1,0.259423649508,0.864552164613,-1,nan,nan,Li,Li,Al,Mn,O,O,1.0,5.0,-2.0,0.92,0.4975,1.4
LiAlO3,single,nan,nan,nan,nan,nan,Li,Al,Li,Li,Al,Al,O,O,nan,nan,nan,nan,nan,1.4
LiSrTi2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Li,Sr,Ti,Ti,O,O,nan,nan,nan,nan,nan,nan
LiSrTiMnO6,double_AB,4.83388172464,-1,0.255516207848,0.97688647682,-1,nan,nan,Li,Sr,Ti,Mn,O,O,1.5,4.5,-2.0,1.18,0.4675,1.4
LiSrTiAlO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Li,Sr,Ti,Al,O,O,nan,nan,nan,nan,nan,nan
LiSrMnTiO6,double_AB,4.83388172464,-1,0.255516207848,0.97688647682,-1,nan,nan,Li,Sr,Mn,Ti,O,O,1.5,4.5,-2.0,1.18,0.4675,1.4
LiSrMn2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Li,Sr,Mn,Mn,O,O,nan,nan,nan,nan,nan,nan
LiSrMnAlO6,double_AB,5.38885639736,-1,0.121635927845,1.01634289441,-1,nan,nan,Li,Sr,Mn,Al,O,O,1.5,4.5,-2.0,1.18,0.395,1.4
LiSrAlTiO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Li,Sr,Al,Ti,O,O,nan,nan,nan,nan,nan,nan
LiSrAlMnO6,double_AB,5.38885639736,-1,0.121635927845,1.01634289441,-1,nan,nan,Li,Sr,Al,Mn,O,O,1.5,4.5,-2.0,1.18,0.395,1.4
LiSrAl2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Li,Sr,Al,Al,O,O,nan,nan,nan,nan,nan,nan
LiLaTi2O6,double_A,4.26238011133,-1,0.494187408038,0.89578614674,-1,nan,nan,Li,La,Ti,Ti,O,O,2.0,4.0,-2.0,1.14,0.605,1.4
LiLaTiMnO6,double_AB,4.22663730882,-1,0.511385556837,0.912859580287,-1,nan,nan,Li,La,Ti,Mn,O,O,2.0,4.0,-2.0,1.14,0.5675,1.4
LiLaTiAlO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Li,La,Ti,Al,O,O,nan,nan,nan,nan,nan,nan
LiLaMnTiO6,double_AB,4.22663730882,-1,0.511385556837,0.912859580287,-1,nan,nan,Li,La,Mn,Ti,O,O,2.0,4.0,-2.0,1.14,0.5675,1.4
LiLaMn2O6,double_A,4.25823496998,-1,0.496178431118,0.93059648923,-1,nan,nan,Li,La,Mn,Mn,O,O,2.0,4.0,-2.0,1.14,0.53,1.4
LiLaMnAlO6,double_AB,4.67619117783,-1,0.311641723833,0.980109808575,-1,nan,nan,Li,La,Mn,Al,O,O,2.0,4.0,-2.0,1.14,0.4325,1.4
LiLaAlTiO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Li,La,Al,Ti,O,O,nan,nan,nan,nan,nan,nan
LiLaAlMnO6,double_AB,4.67619117783,-1,0.311641723833,0.980109808575,-1,nan,nan,Li,La,Al,Mn,O,O,2.0,4.0,-2.0,1.14,0.4325,1.4
LiLaAl2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Li,La,Al,Al,O,O,nan,nan,nan,nan,nan,nan
SrLiTi2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Sr,Li,Ti,Ti,O,O,nan,nan,nan,nan,nan,nan
SrLiTiMnO6,double_AB,4.83388172464,-1,0.255516207848,0.97688647682,-1,nan,nan,Sr,Li,Ti,Mn,O,O,1.5,4.5,-2.0,1.18,0.4675,1.4
SrLiTiAlO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Sr,Li,Ti,Al,O,O,nan,nan,nan,nan,nan,nan
SrLiMnTiO6,double_AB,4.83388172464,-1,0.255516207848,0.97688647682,-1,nan,nan,Sr,Li,Mn,Ti,O,O,1.5,4.5,-2.0,1.18,0.4675,1.4
SrLiMn2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Sr,Li,Mn,Mn,O,O,nan,nan,nan,nan,nan,nan
SrLiMnAlO6,double_AB,5.38885639736,-1,0.121635927845,1.01634289441,-1,nan,nan,Sr,Li,Mn,Al,O,O,1.5,4.5,-2.0,1.18,0.395,1.4
SrLiAlTiO6,double_AB,nan,nan,nan,nan,nan,nan,nan,Sr,Li,Al,Ti,O,O,nan,nan,nan,nan,nan,nan
SrLiAlMnO6,double_AB,5.38885639736,-1,0.121635927845,1.01634289441,-1,nan,nan,Sr,Li,Al,Mn,O,O,1.5,4.5,-2.0,1.18,0.395,1.4
SrLiAl2O6,double_A,nan,nan,nan,nan,nan,nan,nan,Sr,Li,Al,Al,O,O,nan,nan,nan,nan,nan,nan
SrTiO3,single,3.80355099695,1,0.704592260016,1.00158766013,1,Sr,Ti,Sr,Sr,Ti,Ti,O,O,2,4,-2,1.44,0.605,1.4
Sr2TiMnO6,double_B,3.91704703197,1,0.656618494928,1.02067764095,-1,nan,nan,Sr,Sr,Ti,Mn,O,O,2.0,4.0,-2.0,1.44,0.5675,1.4
Sr2TiAlO6,double_B,nan,nan,nan,nan,nan,nan,nan,Sr,Sr,Ti,Al,O,O,nan,nan,nan,nan,nan,nan
