A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
La2FeNiO6,1.6357489920447217,0.9890993704082444,1,0.9649516519529646,1,La,Fe,Ni,O,1.36,0.645,0.6,1.4,3,3,3,-2,1.0
La2CoGaO6,1.6357956085444192,0.9890986308388632,1,0.9685432834118468,1,La,Co,Ga,O,1.36,0.61,0.62,1.4,3,3,3,-2,1.0
La2MgMnO6,1.6362675149724701,0.9890911411147292,1,0.9637603536172202,1,La,Mg,Mn,O,1.36,0.72,0.53,1.4,3,2,4,-2,1.0
La2GeMgO6,1.6362675149724701,0.9890911411147292,1,0.9637603536172202,1,La,Ge,Mg,O,1.36,0.53,0.72,1.4,3,4,2,-2,1.0
La2CoFeO6,1.6370525156437843,0.9890786703334524,1,0.9625719931318722,1,La,Co,Fe,O,1.36,0.61,0.645,1.4,3,3,3,-2,1.0
La2MnNiO6,1.637165915680015,0.9890768675959012,1,0.9709525950621252,1,La,Mn,Ni,O,1.36,0.53,0.69,1.4,3,4,2,-2,1.0
La2GaNiO6,1.637165915680015,0.9890768675959012,1,0.9709525950621252,1,La,Ga,Ni,O,1.36,0.62,0.6,1.4,3,3,3,-2,1.0
La2CrFeO6,1.6381037264922655,0.9890619471913521,1,0.9613865596427936,1,La,Cr,Fe,O,1.36,0.615,0.645,1.4,3,3,3,-2,1.0
La2CrMnO6,1.6381037264922655,0.9890619471913521,1,0.9613865596427936,1,La,Cr,Mn,O,1.36,0.615,0.645,1.4,3,3,3,-2,1.0
La2FeGaO6,1.6394209225715368,0.9890409549830708,1,0.96020404234926,1,La,Fe,Ga,O,1.36,0.645,0.62,1.4,3,3,3,-2,1.0
La2GaMnO6,1.6394209225715368,0.9890409549830708,1,0.96020404234926,1,La,Ga,Mn,O,1.36,0.62,0.645,1.4,3,3,3,-2,1.0
La2CoNiO6,1.6396122245413929,0.9890379027080454,1,0.9733739232293621,1,La,Co,Ni,O,1.36,0.61,0.6,1.4,3,3,3,-2,1.0
